SK_ID_CURR,NUM_FRAUDES_DETECTADOS,TASA_FRAUDE,ERROR_RECONSTRUCCION,TARGET_PRESTAMO,TOTAL_INCONSISTENCIAS,SOBREENDEUDAMIENTO,RATIO_CREDITO_INGRESO,CLUSTER
114967,14,1.2337159168572145,66.26049395454577,1.0,1.0,0.0,0.0048076153846153,2
124157,11,1.7002473363774733,6.250612349254003,1.0,1.0,1.0,84.73684210526316,0
190160,1,0.4629629629629629,5.0989614384632445,0.0,1.0,0.0,0.159059,0
219563,12,0.9858357228302141,3.10383185172934,0.0,1.0,0.0,0.5,0
252084,6,0.8034127266263775,3.8826718772838578,0.0,0.0,0.0,0.11716,0
313127,6,3.3333333333333335,5.906620591323713,0.0,2.0,1.0,18.0,1
317748,11,1.5681818181818183,2.4347593324262515,0.0,1.0,0.0,0.18564,0
336147,5,0.45073694717919505,8.961299899447448,0.0,0.0,0.0,0.0374998125009374,0
337151,3,0.5363441329406204,2.9552896393669914,0.0,0.0,0.0,0.1,0
385674,1,0.3508771929824561,8.061152084146379,0.0,1.0,0.0,0.103741,0
