SK_ID_CURR,AE_SEQ_SCORE,AE_SEQ_FLAG
378907,0.0577948,0
363914,0.07661051,0
371185,2.5383692,0
337855,0.23030014,0
126868,0.5121164,0
380010,0.10591933,0
171320,0.5618964,0
118650,0.044440467,0
367360,1.6049823,0
203885,0.27464238,0
209660,0.042410385,0
340339,0.11093739,0
302517,1.9384831,0
171537,1.551931,0
303581,0.0017256686,0
289902,0.041544575,0
255981,0.2675464,0
276642,0.0023410344,0
302450,0.09133509,0
231608,3.2520366,0
259807,0.16231407,0
217113,0.120888025,0
132481,0.05617418,0
105755,2.7823741,0
323730,0.4455818,0
195164,0.32538918,0
184131,0.5674313,0
387286,0.03705282,0
213409,0.09833261,0
406607,1.4301564,0
427122,0.28557578,0
388056,0.44269213,0
337802,0.117791094,0
193247,0.30235836,0
223794,0.36996147,0
234016,0.3024172,0
379250,0.3286766,0
441030,0.2219394,0
384410,0.30652586,0
330465,0.008488273,0
215299,0.59254473,0
147323,0.14301558,0
425246,0.6736536,0
313797,0.086294174,0
352647,0.27997264,0
399970,0.010801235,0
116448,0.29671288,0
121258,0.0057982523,0
104946,0.0017256686,0
104761,0.009492436,0
271657,0.00486202,0
352319,0.10756876,0
215709,0.014955333,0
113120,3.17755,0
367562,0.52971613,0
166121,0.06696405,0
343837,0.0021578653,0
217747,0.024760334,0
224252,0.0022396224,0
128242,0.049530398,0
162464,0.003551096,0
343308,0.35218704,0
249286,0.046874247,0
252742,0.0028109625,0
118055,0.16789503,0
277880,0.09065248,0
166894,0.009465049,0
293607,0.0017756018,0
336961,0.3070455,0
140209,0.003484587,0
114707,0.004140722,0
340224,0.027478138,0
277061,0.019367902,0
311117,0.17267959,0
103029,0.0045044804,0
214797,0.12950587,0
271670,0.5078132,0
294744,0.0021578653,0
152835,0.003360562,0
183994,0.002810963,0
385344,0.007774134,0
439525,0.004258718,0
341787,0.0046804375,0
263564,0.579181,0
353300,0.0021578653,0
274118,0.01822185,0
216234,0.04936644,0
224220,0.0021578653,0
226681,0.0017392804,0
186806,0.1376519,0
436212,0.007136165,0
274239,0.0038375864,0
161019,0.89913,0
302820,0.0070304773,0
416815,0.77244323,0
375482,0.021419637,0
354226,0.0018709179,0
285273,0.34437478,0
283851,0.38925546,0
281671,0.0021578653,0
318823,0.14726241,0
443277,0.0036550725,0
218365,0.008069982,0
148430,0.0017256686,0
155018,0.0048400206,0
317323,0.31426513,0
144297,0.050688982,0
440902,0.6256835,0
415488,0.008589464,0
263672,0.02525002,0
111058,0.0021578653,0
206238,0.03250191,0
225797,0.003851515,0
208643,0.4985671,0
380281,0.012217696,0
216500,0.0043686093,0
234103,1.1361423,0
262878,0.2676915,0
325115,0.0021578653,0
165574,0.073367864,0
214119,0.20245522,0
139874,0.0051501105,0
219020,0.04531376,0
319420,0.0018635913,0
100796,0.87557274,0
350096,0.0021578653,0
437044,0.004267383,0
401940,0.00359645,0
258531,0.06198437,0
289116,0.1323866,0
287348,0.10095153,0
269777,0.021588178,0
184329,1.8324689,0
152002,0.004095043,0
309694,0.0048400206,0
129148,0.49897048,0
292878,1.5796516,0
311473,0.002577829,0
425342,0.39184582,0
251071,0.91922057,0
243368,0.38131186,0
222627,0.0057994695,0
168967,0.116584875,0
122315,0.0021578653,0
226508,0.0021578653,0
257200,0.0036468378,0
437104,0.36876044,0
352910,1.7262598,0
328427,0.12188896,0
120317,1.1999935,0
416736,0.0038148393,0
344086,0.50101453,0
228504,0.8898274,0
321929,3.4713225,0
203891,0.006218193,0
248677,1.5635679,0
227521,0.42603892,0
377975,3.2360332,0
218654,0.007108746,0
424828,0.003224443,0
372599,0.008135929,0
102143,1.2141246,0
251438,0.06614209,0
172722,0.0019455929,0
111353,0.050447002,0
375115,0.071370445,0
397363,0.30693474,0
388124,0.0052532614,0
110936,0.006857917,0
374917,0.041987237,0
237951,0.010654698,0
370398,0.11518416,0
441487,0.0030124967,0
369494,0.06553105,0
262446,0.032845918,0
342198,0.006890402,0
102267,0.36004815,0
399186,0.0990448,0
246513,1.3923854,0
266709,0.12198874,0
371612,1.8671108,0
288650,0.0074988944,0
261013,0.32277206,0
147847,0.008612971,0
197559,0.007654381,0
206827,0.002577829,0
413276,0.0034837693,0
414828,3.0337389,0
422506,0.008004167,0
232385,0.0032075455,0
313585,0.006630227,0
336696,0.0021578653,0
234738,0.33979234,0
