SK_ID_CURR,TARJETA_ID,ERROR_RECONSTRUCCION,TARGET_PRESTAMO,NUM_TRANSACCIONES,NUM_FRAUDES_DETECTADOS,TASA_FRAUDE,MONTO_PROMEDIO_TRANS,TOTAL_INCONSISTENCIAS,SOBREENDEUDAMIENTO,TIENE_CIRCULO_RIESGOSO,RATIO_CREDITO_INGRESO,EDAD,SCORE_RIESGO
114967,TC_114967_1,66.26049395454577,1.0,485,10,2.0618556701030926,4268.151038910952,1.0,0.0,0.0,0.0048076153846153,34.56164383561644,6640.173106794782
114967,TC_114967_2,66.26049395454577,1.0,238,3,1.2605042016806722,2819.483198868324,1.0,0.0,0.0,0.0048076153846153,34.56164383561644,6638.570403857938
114967,TC_114967_3,66.26049395454577,1.0,264,1,0.3787878787878788,4947.437577717802,1.0,0.0,0.0,0.0048076153846153,34.56164383561644,6636.806971212152
336147,TC_336147_3,8.961299899447448,0.0,326,3,0.9202453987730062,4390.792949966307,0.0,0.0,0.0,0.0374998125009374,43.02465753424657,897.9704807422909
336147,TC_336147_2,8.961299899447448,0.0,463,2,0.4319654427645789,1779.5866757831366,0.0,0.0,0.0,0.0374998125009374,43.02465753424657,896.993920830274
336147,TC_336147_1,8.961299899447448,0.0,199,0,0.0,5061.142541520961,0.0,0.0,0.0,0.0374998125009374,43.02465753424657,896.1299899447448
385674,TC_385674_1,8.061152084146379,0.0,285,1,0.3508771929824561,8015.0422356286645,1.0,0.0,0.0,0.103741,37.12602739726027,816.8169628006028
124157,TC_124157_2,6.250612349254003,1.0,320,7,2.1875,17532.71956878944,1.0,1.0,1.0,84.73684210526316,58.95068493150685,659.4362349254003
124157,TC_124157_3,6.250612349254003,1.0,100,2,2.0,21406.970972709492,1.0,1.0,1.0,84.73684210526316,58.95068493150685,659.0612349254003
124157,TC_124157_1,6.250612349254003,1.0,219,2,0.91324200913242,21221.618581817205,1.0,1.0,1.0,84.73684210526316,58.95068493150685,656.8877189436652
